station_eu_code,variabili,coeff,se,pvalue
IT1287A,ar1,0.358,0.826,0.664
IT1287A,ar2,0.098,0.345,0.777
IT1287A,ma1,0.006,0.836,0.995
IT1287A,intercept,3.331,0.173,0
IT1287A,t2m,0.069,0.079,0.381
IT1287A,tp,0.072,0.037,0.053
IT1287A,ptp,-0.023,0.031,0.453
IT1287A,sp,0.461,0.136,0.001
IT1287A,wdir,-0.064,0.019,0.001
IT1287A,wspeed,-0.084,0.023,0
IT1287A,pblmax,-0.081,0.021,0
IT1287A,pblmin,-0.213,0.084,0.011
IT1287A,dtr,0.089,0.02,0
IT1287A,lockdown,0.221,0.26,0.397
IT1287A,weekend,-0.141,0.032,0
IT1287A,banda,-0.006,0.001,0
IT1287A,bandalockdown,-0.004,0.003,0.109
IT1286A,ma1,0.24,0.082,0.003
IT1286A,intercept,3.437,0.187,0
IT1286A,t2m,-0.058,0.081,0.476
IT1286A,tp,0.001,0.04,0.976
IT1286A,ptp,-0.046,0.033,0.161
IT1286A,sp,0.119,0.147,0.419
IT1286A,wdir,-0.074,0.026,0.004
IT1286A,wspeed,-0.066,0.033,0.045
IT1286A,pblmax,-0.101,0.025,0
IT1286A,pblmin,-0.435,0.11,0
IT1286A,dtr,0.13,0.025,0
IT1286A,lockdown,0.231,0.218,0.289
IT1286A,weekend,-0.19,0.04,0
IT1286A,banda,-0.005,0.002,0
IT1286A,bandalockdown,-0.005,0.002,0.024
IT1251A,intercept,4.01,0.173,0
IT1251A,t2m,-0.027,0.078,0.727
IT1251A,tp,-0.03,0.038,0.432
IT1251A,ptp,-0.048,0.031,0.125
IT1251A,sp,-0.043,0.128,0.737
IT1251A,wdir,0.045,0.019,0.015
IT1251A,wspeed,-0.173,0.05,0.001
IT1251A,pblmax,-0.019,0.021,0.367
IT1251A,pblmin,-0.25,0.16,0.118
IT1251A,dtr,0.076,0.021,0
IT1251A,lockdown,0.054,0.196,0.78
IT1251A,weekend,-0.225,0.038,0
IT1251A,banda,-0.005,0.001,0.001
IT1251A,bandalockdown,-0.007,0.002,0
IT2230A,ar1,0.537,0.074,0
IT2230A,intercept,3.602,0.16,0
IT2230A,t2m,0.008,0.078,0.921
IT2230A,tp,0.013,0.041,0.744
IT2230A,ptp,-0.026,0.033,0.44
IT2230A,sp,0.182,0.129,0.16
IT2230A,wdir,-0.013,0.017,0.449
IT2230A,wspeed,-0.067,0.023,0.004
IT2230A,pblmax,-0.039,0.016,0.013
IT2230A,pblmin,-0.116,0.05,0.02
IT2230A,dtr,0.056,0.017,0.001
IT2230A,lockdown,0.247,0.25,0.323
IT2230A,weekend,-0.11,0.029,0
IT2230A,banda,-0.008,0.001,0
IT2230A,bandalockdown,-0.004,0.003,0.095
IT1385A,ar1,0.913,0.064,0
IT1385A,ma1,-0.689,0.111,0
IT1385A,intercept,3.606,0.411,0
IT1385A,t2m,-0.016,0.078,0.841
IT1385A,tp,-0.02,0.021,0.356
IT1385A,ptp,-0.085,0.024,0
IT1385A,sp,-0.103,0.164,0.531
IT1385A,wdir,0.036,0.018,0.051
IT1385A,wspeed,0.008,0.098,0.937
IT1385A,pblmax,-0.128,0.02,0
IT1385A,pblmin,-0.173,0.118,0.141
IT1385A,dtr,0.029,0.018,0.109
IT1385A,lockdown,0.368,0.386,0.341
IT1385A,weekend,-0.272,0.034,0
IT1385A,banda,-0.009,0.002,0
IT1385A,bandalockdown,-0.008,0.004,0.049
IT1203A,ma1,0.132,0.098,0.177
IT1203A,ma2,0.174,0.095,0.068
IT1203A,intercept,3.665,0.193,0
IT1203A,t2m,-0.058,0.087,0.502
IT1203A,tp,-0.019,0.037,0.606
IT1203A,ptp,-0.034,0.023,0.13
IT1203A,sp,-0.168,0.155,0.279
IT1203A,wdir,-0.053,0.018,0.003
IT1203A,wspeed,-0.206,0.053,0
IT1203A,pblmax,-0.097,0.027,0
IT1203A,pblmin,0.011,0.113,0.924
IT1203A,dtr,0.025,0.028,0.37
IT1203A,lockdown,0.459,0.258,0.075
IT1203A,weekend,-0.063,0.041,0.121
IT1203A,banda,-0.009,0.002,0
IT1203A,bandalockdown,-0.007,0.003,0.004
IT1190A,ma1,0.401,0.098,0
IT1190A,ma2,0.105,0.097,0.28
IT1190A,intercept,4.521,0.781,0
IT1190A,t2m,0.156,0.113,0.169
IT1190A,tp,0.034,0.043,0.432
IT1190A,ptp,-0.031,0.037,0.4
IT1190A,sp,0.412,0.281,0.143
IT1190A,wdir,-0.008,0.027,0.765
IT1190A,wspeed,-0.466,0.157,0.003
IT1190A,pblmax,-0.09,0.035,0.011
IT1190A,pblmin,-0.154,0.137,0.262
IT1190A,dtr,-0.064,0.04,0.109
IT1190A,lockdown,-1.157,0.399,0.004
IT1190A,weekend,-0.235,0.064,0
IT1190A,banda,-0.011,0.002,0
IT1190A,bandalockdown,0.003,0.004,0.444
IT1174A,ar1,0.582,0.477,0.222
IT1174A,ar2,0.092,0.212,0.665
IT1174A,ma1,-0.341,0.463,0.462
IT1174A,intercept,3.223,0.17,0
IT1174A,t2m,-0.129,0.072,0.072
IT1174A,tp,0.026,0.026,0.321
IT1174A,ptp,0.002,0.022,0.941
IT1174A,sp,0.359,0.138,0.009
IT1174A,wdir,-0.047,0.018,0.007
IT1174A,wspeed,-0.11,0.027,0
IT1174A,pblmax,-0.03,0.018,0.103
IT1174A,pblmin,-0.117,0.069,0.088
IT1174A,dtr,0.023,0.019,0.233
IT1174A,lockdown,-0.317,0.251,0.206
IT1174A,weekend,-0.048,0.029,0.097
IT1174A,banda,-0.005,0.001,0
IT1174A,bandalockdown,0.002,0.003,0.473
IT1876A,ar1,0.716,0.504,0.156
IT1876A,ar2,-0.058,0.201,0.771
IT1876A,ma1,-0.417,0.494,0.399
IT1876A,intercept,3.575,0.252,0
IT1876A,t2m,-0.103,0.117,0.38
IT1876A,tp,-0.051,0.039,0.196
IT1876A,ptp,-0.035,0.031,0.264
IT1876A,sp,-0.382,0.211,0.07
IT1876A,wdir,-0.011,0.019,0.569
IT1876A,wspeed,-0.147,0.076,0.052
IT1876A,pblmax,-0.154,0.032,0
IT1876A,pblmin,-0.185,0.161,0.25
IT1876A,dtr,0.088,0.03,0.003
IT1876A,lockdown,0.403,0.354,0.255
IT1876A,weekend,-0.263,0.049,0
IT1876A,banda,-0.01,0.002,0
IT1876A,bandalockdown,-0.009,0.004,0.019
IT1868A,ar1,0.296,0.41,0.47
IT1868A,ar2,-0.03,0.167,0.857
IT1868A,ar3,0.187,0.094,0.047
IT1868A,ma1,0.035,0.425,0.934
