IT1583A;basilicata
IT2216A;campania
IT0187A;emiliaromagna
IT2158A;emiliaromagna
IT2097A;emiliaromagna
IT1105A;emiliaromagna
IT2027A;emiliaromagna
IT1029A;emiliaromagna
IT1670A;emiliaromagna
IT1163A;emiliaromagna
IT0692A;lombardia
IT0906A;lombardia
IT0776A;lombardia
IT1812A;lombardia
IT0885A;lazio
IT0884A;lazio
IT2249A;lazio
IT2248A;lazio
IT2251A;lazio
IT2253A;lazio
IT1184A;lazio
IT2172A;lazio
IT1906A;lazio
IT2250A;lazio
IT0643A;piemonte
IT1529A;piemonte
IT1510A;piemonte
IT1904A;piemonte
IT2151A;puglia
IT2149A;puglia
IT2148A;puglia
IT1660A;puglia
IT1704A;puglia
IT1607A;puglia
IT1348A;sicilia
IT1552A;sicilia
IT2011A;sardegna
IT2008A;sardegna
IT0945A;toscana
IT2154A;toscana
IT0862A;toscana
IT2072A;veneto
IT2243A;veneto
IT1619A;veneto
IT1870A;veneto
IT1880A;veneto
